concept_id,priority,pool_tier,search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,default_start_sec,default_end_sec,notes
vdcr_concept_0002,A,main_pool,Vortex Shedding / Karman Vortex Street,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0002,A,main_pool,Vortex Shedding / Karman Vortex Street experiment,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0002,A,main_pool,Vortex Shedding / Karman Vortex Street demonstration,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0002,A,main_pool,Vortex Shedding / Karman Vortex Street slow motion,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0002,A,main_pool,Vortex Shedding / Karman Vortex Street video,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0002,A,main_pool,周期涡脱落/卡门涡街 Vortex Shedding / Karman Vortex Street,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0003,A,main_pool,Cavitation Bubble Growth and Collapse,physics_physical_systems,Cavitation Bubble Growth and Collapse,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Cavitation Bubble Growth and Collapse, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=空化泡生长与塌缩; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0003,A,main_pool,Cavitation Bubble Growth and Collapse experiment,physics_physical_systems,Cavitation Bubble Growth and Collapse,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Cavitation Bubble Growth and Collapse, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=空化泡生长与塌缩; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0003,A,main_pool,Cavitation Bubble Growth and Collapse demonstration,physics_physical_systems,Cavitation Bubble Growth and Collapse,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Cavitation Bubble Growth and Collapse, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=空化泡生长与塌缩; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0003,A,main_pool,Cavitation Bubble Growth and Collapse slow motion,physics_physical_systems,Cavitation Bubble Growth and Collapse,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Cavitation Bubble Growth and Collapse, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=空化泡生长与塌缩; concept_type=自然动态机制; priority=A; pool_tier=main_pool
