video_id,split_status,category,knowledge_point,answer,source_url,local_media,first_frame,middle_frame,last_frame,sparse_sheet,shortcut_decision,single_frame_sufficient,sparse_frames_sufficient,review_notes
dynaknow_000001,accepted,physics_mechanics,Collisions transfer momentum between objects.,A,https://commons.wikimedia.org/wiki/File:Quick_Pool_Break.webm,media/raw/dynaknow_000001.webm,media/frames/dynaknow_000001/first.jpg,media/frames/dynaknow_000001/middle.jpg,media/frames/dynaknow_000001/last.jpg,media/contact_sheets/sparse/dynaknow_000001_sparse.jpg,accept_dynamic_seed,no,yes,Pool-break process supports collision momentum transfer. Individual frames show billiards but not the transfer process; sparse frames are enough to infer the dynamic event.
dynaknow_000002,accepted,chemistry_material_change,Materials can expand unevenly when heated.,A,https://commons.wikimedia.org/wiki/File:Bimetal_coil_reacts_to_lighter.ogv,media/raw/dynaknow_000002.ogv,media/frames/dynaknow_000002/first.jpg,media/frames/dynaknow_000002/middle.jpg,media/frames/dynaknow_000002/last.jpg,media/contact_sheets/sparse/dynaknow_000002_sparse.jpg,accept_dynamic_seed,no,yes,Bimetal coil bends after heat is applied. A still frame shows coil shape but not heat-triggered deformation; sparse frames reveal the process clearly.
dynaknow_000003,accepted,chemistry_material_change,Some chemical reactions produce color change.,A,https://commons.wikimedia.org/wiki/File:Iodine_clock_-_persulphate.ogv,media/raw/dynaknow_000003.ogv,media/frames/dynaknow_000003/first.jpg,media/frames/dynaknow_000003/middle.jpg,media/frames/dynaknow_000003/last.jpg,media/contact_sheets/sparse/dynaknow_000003_sparse.jpg,accept_dynamic_seed,no,yes,Iodine clock color change is only evident across time. A single beaker frame is insufficient; sparse frames reveal the color transition.
dynaknow_000007,accepted,everyday_causal_mechanisms,Surface tension can support or reshape small liquid structures.,A,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,media/raw/dynaknow_000007.webm,media/frames/dynaknow_000007/first.jpg,media/frames/dynaknow_000007/middle.jpg,media/frames/dynaknow_000007/last.jpg,media/contact_sheets/sparse/dynaknow_000007_sparse.jpg,accept_dynamic_seed,no,yes,Capillary breakup/surface-tension-driven droplet formation is visible across frames. Single frames show fluid shapes but not breakup; taxonomy wording was revised.
dynaknow_000010,accepted,physics_mechanics,A pendulum exchanges gravitational potential energy and kinetic energy.,A,https://commons.wikimedia.org/wiki/File:ElasticPendulum.webm,media/raw/dynaknow_000010.webm,media/frames/dynaknow_000010/first.jpg,media/frames/dynaknow_000010/middle.jpg,media/frames/dynaknow_000010/last.jpg,media/contact_sheets/sparse/dynaknow_000010_sparse.jpg,accept_dynamic_seed,no,yes,Elastic pendulum motion shows changing height and speed across frames; single frames do not reveal oscillatory energy exchange.
dynaknow_000016,accepted,physics_mechanics,Unsupported objects accelerate downward under gravity.,B,https://commons.wikimedia.org/wiki/File:Slow_motion_drop.webm,media/raw/dynaknow_000016.webm,media/frames/dynaknow_000016/first.jpg,media/frames/dynaknow_000016/middle.jpg,media/frames/dynaknow_000016/last.jpg,media/contact_sheets/sparse/dynaknow_000016_sparse.jpg,accept_dynamic_seed,no,yes,"Water drop falls and impacts liquid; individual frames do not establish acceleration under gravity, while sparse frames reveal the falling/splash process."
dynaknow_000047,accepted,physics_mechanics,Collisions transfer momentum between objects.,C,https://commons.wikimedia.org/wiki/File:Carom_billiards.webm,media/raw/dynaknow_000047.webm,media/frames/dynaknow_000047/first.jpg,media/frames/dynaknow_000047/middle.jpg,media/frames/dynaknow_000047/last.jpg,media/contact_sheets/sparse/dynaknow_000047_sparse.jpg,accept_dynamic_seed,no,yes,Billiard balls change velocity after visible contacts. Single frames show a table state but not transfer through collision; sparse frames reveal the process.
dynaknow_000081,accepted,procedural_operational_principles,Vibration can cause granular materials to segregate by particle size.,A,https://commons.wikimedia.org/wiki/File:Brazil_nut_effect_demonstration.webm,media/raw/dynaknow_000081.webm,media/frames/dynaknow_000081/first.jpg,media/frames/dynaknow_000081/middle.jpg,media/frames/dynaknow_000081/last.jpg,media/contact_sheets/sparse/dynaknow_000081_sparse.jpg,accept_dynamic_seed,no,yes,Revised taxonomy now matches the visible process: repeated shaking causes larger granular pieces to migrate upward relative to smaller grains. Single frames show a jar state but not the vibration-driven segregation process; sparse frames reveal it.
dynaknow_000083,accepted,chemistry_material_change,Some chemical reactions produce color change.,B,https://commons.wikimedia.org/wiki/File:117._%D0%91%D0%B5%D0%BD%D0%B5%D0%B4%D0%B8%D0%BA%D1%82%D0%BE%D0%B2%D0%B0_%D1%80%D0%B5%D0%B0%D0%BA%D1%86%D0%B8%D1%98%D0%B0.webm,media/raw/dynaknow_000083.webm,media/frames/dynaknow_000083/first.jpg,media/frames/dynaknow_000083/middle.jpg,media/frames/dynaknow_000083/last.jpg,media/contact_sheets/sparse/dynaknow_000083_sparse.jpg,accept_dynamic_seed,no,yes,Color transition is visible over ordered frames; single first middle or last frame does not establish the reaction-driven change.
dynaknow_000084,accepted,biology_life_processes,Plant shoots can grow toward a light source.,C,https://commons.wikimedia.org/wiki/File:Growth_of_mung_bean_seedlings.webm,media/raw/dynaknow_000084.webm,media/frames/dynaknow_000084/first.jpg,media/frames/dynaknow_000084/middle.jpg,media/frames/dynaknow_000084/last.jpg,media/contact_sheets/sparse/dynaknow_000084_sparse.jpg,accept_dynamic_seed,no,yes,Seedlings change orientation across time; a single frame shows plant pose but not directional growth toward light.
