source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,why_dynamic,collector_notes
https://commons.wikimedia.org/wiki/File:FrictionOnBlock.webm,wikimedia_commons,CC license listed on Commons page verify before final use,7.2,0.0,7.2,physics_mechanics,Objects sliding on rough surfaces slow down due to friction.,A block changes motion under applied force and contact resistance over time; a single still cannot establish the change in motion.,web_curated_v0_6; source=web_search; title names friction so leakage risk must be checked.
https://commons.wikimedia.org/wiki/File:Melting_an_iron_nail.webm,wikimedia_commons,CC BY-SA 4.0 listed on Commons page verify before final use,28.0,0.0,28.0,chemistry_material_change,A solid can absorb heat and melt into a liquid.,The nail visibly changes from solid metal to molten material under heating/current over time.,web_curated_v0_6; source=web_search; title names melting so likely title leakage; useful for filter stress test.
https://commons.wikimedia.org/wiki/File:124._%D0%A2%D0%B0%D0%BB%D0%BE%D0%B6%D0%B5%D1%9A%D0%B5_%D1%81%D0%BE_%D0%B3%D0%BE%D1%82%D0%B2%D0%B0%D1%80%D1%81%D0%BA%D0%B0_%D1%81%D0%BE%D0%BB%2C_%D0%BC%D0%B0%D0%B3%D0%BD%D0%B5%D0%B7%D0%B8%D1%83%D0%BC-%D1%81%D1%83%D0%BB%D1%84%D0%B0%D1%82%2C_%D0%BE%D0%BB%D0%BE%D0%B2%D0%BE-%D0%BD%D0%B8%D1%82%D1%80%D0%B0%D1%82%2C_%D1%86%D0%B8%D0%BD%D0%BA-%D1%81%D1%83%D0%BB%D1%84%D0%B0%D1%82%2C_%D0%B1%D0%B0%D0%BA%D0%B0%D1%80-%D1%81%D1%83%D0%BB%D1%84%D0%B0%D1%82_%D0%B8_%D0%B5%D1%82%D0%B0%D0%BD%D0%BE%D0%BB.webm,wikimedia_commons,Wikiexperiments/Commons license listed on page verify before final use,61.0,0.0,60.0,chemistry_material_change,Some reactions form a precipitate.,Solutions are mixed and visible solids/cloudiness form over time; the process cannot be verified from final state alone.,web_curated_v0_6; source=web_search; Macedonian title reduces English answer leakage but subtitle/narration must be checked.
https://commons.wikimedia.org/wiki/File:117._%D0%91%D0%B5%D0%BD%D0%B5%D0%B4%D0%B8%D0%BA%D1%82%D0%BE%D0%B2%D0%B0_%D1%80%D0%B5%D0%B0%D0%BA%D1%86%D0%B8%D1%98%D0%B0.webm,wikimedia_commons,Wikiexperiments/Commons license listed on page verify before final use,58.0,0.0,58.0,chemistry_material_change,Some chemical reactions produce color change.,A chemical test changes visual appearance over time and requires the process rather than a single final frame.,web_curated_v0_6; source=web_search; non-English title; verify whether color change or precipitate is the better knowledge point.
https://commons.wikimedia.org/wiki/File:Potassium_permanganate_-_KMnO4_-_crystallization_of_aqueous_solution.webm,wikimedia_commons,CC BY-SA 4.0 listed on Commons page verify before final use,26.0,0.0,26.0,chemistry_material_change,Solvent evaporation can leave crystals behind.,Crystals appear and grow from solution over time as liquid leaves the system.,web_curated_v0_6; source=web_search; microscope/time-lapse; title names crystallization so leakage risk must be checked.
https://commons.wikimedia.org/wiki/File:CH3NH3PbI3_crystal_growth.webm,wikimedia_commons,Commons license listed on page verify before final use,24.0,0.0,24.0,chemistry_material_change,Solvent evaporation can leave crystals behind.,A crystal grows from solution over time; the visible temporal growth is the evidence.,web_curated_v0_6; source=web_search; specialist material title; may fail specialist-content filter.
https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,wikimedia_commons,CC BY 3.0 listed on Commons page; license review needed on page,18.0,0.0,18.0,biology_life_processes,Plant shoots can grow toward a light source.,A seedling bends/grows directionally over time toward light; static frames do not establish the directional growth process.,web_curated_v0_6; source=web_search; title names phototropism so leakage risk must be checked.
https://commons.wikimedia.org/wiki/File:Growth_of_mung_bean_seedlings.webm,wikimedia_commons,CC BY-SA 4.0 listed on Commons page verify before final use,32.0,0.0,32.0,biology_life_processes,Plant shoots can grow toward a light source.,Seedlings change orientation during growth while light comes from below; temporal change is central evidence.,web_curated_v0_6; source=web_search; could also map to roots/shoots/gravitropism; requires visual review.
https://commons.wikimedia.org/wiki/File:Germination_of_two_little_plants.webm,wikimedia_commons,CC BY-SA 3.0 listed on Commons page verify before final use,11.0,0.0,11.0,biology_life_processes,Seed germination involves root and shoot emergence.,New plant structures emerge over time; a final frame alone cannot establish germination sequence.,web_curated_v0_6; source=web_search; time-lapse plants.
https://commons.wikimedia.org/wiki/File:Timelapse_of_lettuce_emerging.webm,wikimedia_commons,Commons license listed on page verify before final use,19.0,0.0,19.0,biology_life_processes,Seed germination involves root and shoot emergence.,A lettuce seedling emerges from growing medium over time; the process is visible temporally.,web_curated_v0_6; source=web_search; confirm root/shoot evidence before accepting.
