candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,collector_notes
vdcr_commons_mr4_000001,https://commons.wikimedia.org/wiki/File:Vorticella_vortex_DSC_1703.webm,wikimedia_commons,Commons page/license review needed,0.0,0.0,0.0,biology_living_systems,Ciliary Beating,biology_living_systems,biology_family_03,"Candidate must show rhythmic coordinated ciliary beating or cilia-driven flow, not merely a microorganism in view.",commons_manual_round4; newly_retrieved=true; source_page=File:Vorticella_vortex_DSC_1703.webm; concept_zh=纤毛节律摆动; pool_tier=main_pool
vdcr_commons_mr4_000002,https://commons.wikimedia.org/wiki/File:MicrotubuleDynamicInstability.ogv,wikimedia_commons,Commons page/license review needed,0.0,0.0,0.0,biology_living_systems,Microtubule Dynamic Instability,biology_living_systems,biology_family_05,"Candidate must show alternating microtubule growth and shrinkage phases, not a static cytoskeletal diagram.",commons_manual_round4; newly_retrieved=true; source_page=File:MicrotubuleDynamicInstability.ogv; concept_zh=微管动态不稳定性; pool_tier=main_pool
vdcr_commons_mr4_000003,https://commons.wikimedia.org/wiki/File:Calcium-Wave-Propagation-in-Networks-of-Endothelial-Cells-Model-based-Theoretical-and-Experimental-pcbi.1002847.s006.ogv,wikimedia_commons,Commons/PLOS supplementary license review needed,0.0,0.0,0.0,biology_living_systems,Calcium Wave Propagation,biology_living_systems,biology_family_03,"Candidate must show a fluorescence signal propagating cell-to-cell as a wave, not isolated blinking.",commons_manual_round4; newly_retrieved=true; source_page=File:Calcium-Wave-Propagation...s006.ogv; concept_zh=钙波传播; pool_tier=main_pool
vdcr_commons_mr4_000004,https://commons.wikimedia.org/wiki/File:Calcium-spikes-waves-and-oscillations-in-a-large-patterned-epithelial-tissue-srep42786-s2.ogv,wikimedia_commons,Commons/Scientific Reports supplementary license review needed,0.0,0.0,0.0,biology_living_systems,Calcium Wave Propagation,biology_living_systems,biology_family_03,"Candidate must show a spatial calcium wave or oscillatory propagation, not a figure panel with unreadable labels.",commons_manual_round4; newly_retrieved=true; source_page=File:Calcium-spikes-waves...s2.ogv; concept_zh=钙波传播; pool_tier=main_pool; duplicate_concept_candidate=true
vdcr_commons_mr4_000005,https://commons.wikimedia.org/wiki/File:PIAS%CE%B3-Is-Required-for-Faithful-Chromosome-Segregation-in-Human-Cells-pone.0000053.s006.ogv,wikimedia_commons,Commons/PLOS supplementary license review needed,0.0,0.0,0.0,biology_living_systems,Mitotic Chromosome Segregation,biology_living_systems,biology_family_03,"Candidate must show chromosomes aligning and separating during mitosis, not just a cell culture field.",commons_manual_round4; newly_retrieved=true; source_page=File:PIASγ-Is-Required...s006.ogv; concept_zh=有丝分裂染色体分离; pool_tier=main_pool
vdcr_commons_mr4_000006,https://commons.wikimedia.org/wiki/File:Cell_in_mitosis_(real_time).ogv,wikimedia_commons,Commons page/license review needed,0.0,0.0,0.0,biology_living_systems,Mitotic Chromosome Segregation,biology_living_systems,biology_family_03,"Candidate must show mitotic chromosome movement across time; use only if clearer than the PLOS candidate and no text leakage.",commons_manual_round4; newly_retrieved=true; source_page=File:Cell_in_mitosis_(real_time).ogv; concept_zh=有丝分裂染色体分离; pool_tier=main_pool; duplicate_concept_candidate=true
vdcr_commons_mr4_000007,https://commons.wikimedia.org/wiki/File:Phoenix_DustStorm.webm,wikimedia_commons,Commons page/license review needed,0.0,0.0,0.0,earth_environmental_systems,Dust Storm Front Propagation,earth_environmental_systems,earth_family_07,"Candidate must show an advancing dust front boundary over time, not just a dusty skyline.",commons_manual_round4; newly_retrieved=true; source_page=File:Phoenix_DustStorm.webm; concept_zh=尘暴锋面推进; pool_tier=strict_gate
vdcr_commons_mr4_000008,https://commons.wikimedia.org/wiki/File:Pyrocumulonimbus_Billow_From_Alberta_Wildfires_(CIRA_2025-05-30_-_nolabels).webm,wikimedia_commons,NOAA/CIRA public-domain likely; Commons page/license review needed,0.0,0.0,0.0,earth_environmental_systems,Pyrocumulus Development,earth_environmental_systems,earth_family_06,"Candidate must show convective wildfire cloud growth/billowing over time, not a static smoke mass.",commons_manual_round4; newly_retrieved=true; source_page=File:Pyrocumulonimbus_Billow...nolabels.webm; concept_zh=火积云发展; pool_tier=strict_gate
vdcr_commons_mr4_000009,https://commons.wikimedia.org/wiki/File:A_%22bomb_cyclone%22_creates_a_dust_storm_in_New_Mexico_and_Texas_(CIRA_2019-04-11).webm,wikimedia_commons,NOAA/CIRA public-domain likely; Commons page/license review needed,0.0,0.0,0.0,earth_environmental_systems,Dust Storm Front Propagation,earth_environmental_systems,earth_family_07,"Candidate must show a coherent dust front propagating across satellite frames, not just regional haze.",commons_manual_round4; newly_retrieved=true; source_page=File:A_bomb_cyclone_creates_a_dust_storm...webm; concept_zh=尘暴锋面推进; pool_tier=strict_gate; duplicate_concept_candidate=true
vdcr_commons_mr4_000010,https://commons.wikimedia.org/wiki/File:Fires_Billow_Smoke_Across_the_Pacific_Northwest_(CIRA_2024-09-05_-_nolabels).webm,wikimedia_commons,NOAA/CIRA public-domain likely; Commons page/license review needed,0.0,0.0,0.0,earth_environmental_systems,Convective Smoke Plume Rise,earth_environmental_systems,earth_family_06,"Candidate must show buoyancy-driven smoke plumes rising and spreading over time, not a static smoke map.",commons_manual_round4; newly_retrieved=true; source_page=File:Fires_Billow_Smoke...nolabels.webm; concept_zh=烟羽对流上升; pool_tier=strict_gate
