candidate_id,source_url,source_platform,license_or_usage_note,raw_duration_sec,suggested_start_sec,suggested_end_sec,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,collector_notes
vdcr_archive_earth_000001,https://archive.org/details/the-last-day-of-pompeii,internet_archive,archive_license_verify_on_page,6299.4,0.0,60.0,earth_environmental_systems,Pyroclastic Density Current,earth_environmental_systems,earth_family_04,"Candidate must show a hot volcanic density current advancing downslope over time, not merely ash or a static volcano.",archive_search_collected; search_term=pyroclastic flow; archive_identifier=the-last-day-of-pompeii; archive_file=The Last Day of Pompeii.mp4; title=The Last Day of Pompeii; description=The Last Day of Pompeii; targeted_commons_earth_search
vdcr_archive_earth_000002,https://archive.org/details/youtube-2LsqbgtgeHY,internet_archive,archive_license_verify_on_page,933.3,0.0,60.0,earth_environmental_systems,Pyroclastic Density Current,earth_environmental_systems,earth_family_04,"Candidate must show a hot volcanic density current advancing downslope over time, not merely ash or a static volcano.",archive_search_collected; search_term=pyroclastic flow; archive_identifier=youtube-2LsqbgtgeHY; archive_file=2LsqbgtgeHY.mp4; title=The Krakatoa Volcanic Eruption of 1883 - The Loudest Sound Ever Heard?; description=; targeted_commons_earth_search
vdcr_archive_earth_000003,https://archive.org/details/TheVistaGroup-TheHiddenDangersofMountRainier1996,internet_archive,archive_license_verify_on_page,1769.0,0.0,60.0,earth_environmental_systems,Pyroclastic Density Current,earth_environmental_systems,earth_family_04,"Candidate must show a hot volcanic density current advancing downslope over time, not merely ash or a static volcano.","archive_search_collected; search_term=pyroclastic flow; archive_identifier=TheVistaGroup-TheHiddenDangersofMountRainier1996; archive_file=The Hidden Dangers of Mount Rainier VHS • 60 FPS 1996.ia.mp4; title=1996 VHS • The Hidden Dangers of Mount Rainier 60 FPS; description=Produced by the U.S. Geological Survey, this documentary examines the volcanic and mudflow hazards posed by Mount Rainier to the densely populated valleys of Western Washington. The film traces the work of geologist Rocky Crandall, who i...; targeted_commons_earth_search"
vdcr_archive_earth_000004,https://archive.org/details/LaChambreArdente,internet_archive,archive_license_verify_on_page,6396.5,0.0,60.0,earth_environmental_systems,Pyroclastic Density Current,earth_environmental_systems,earth_family_04,"Candidate must show a hot volcanic density current advancing downslope over time, not merely ash or a static volcano.",archive_search_collected; search_term=nuée ardente; archive_identifier=LaChambreArdente; archive_file=La chambre ardente.ogv; title=La Chambre Ardente; description=Yaju; targeted_commons_earth_search
vdcr_archive_earth_000005,https://archive.org/details/fogo.-ardente.-s-01-e-01.-mp-4.-dub.-baixar-series-mp-4.-top,internet_archive,archive_license_verify_on_page,2032.4,0.0,60.0,earth_environmental_systems,Pyroclastic Density Current,earth_environmental_systems,earth_family_04,"Candidate must show a hot volcanic density current advancing downslope over time, not merely ash or a static volcano.",archive_search_collected; search_term=nuée ardente; archive_identifier=fogo.-ardente.-s-01-e-01.-mp-4.-dub.-baixar-series-mp-4.-top; archive_file=Fogo.Ardente.S01E04.MP4.DUB.BaixarSeriesMP4.Top.mp4; title=Fogo. Ardente. S 01 E 01. MP 4. DUB. Baixar Series MP 4. Top; description=dsf; targeted_commons_earth_search
vdcr_archive_earth_000006,https://archive.org/details/TheVistaGroup-HawaiiIslandsoftheFireGoddess1988,internet_archive,archive_license_verify_on_page,3530.1,0.0,60.0,earth_environmental_systems,Pahoehoe Lava Roping,earth_environmental_systems,earth_family_04,Candidate must show ropy pahoehoe surface forming or advancing over time.,"archive_search_collected; search_term=pahoehoe lava flow; archive_identifier=TheVistaGroup-HawaiiIslandsoftheFireGoddess1988; archive_file=Hawaii Islands of the Fire Goddess 1988.mp4; title=1988 VHS • Hawaii Islands of the Fire Goddess 60 FPS; description=Hawaii: Islands of the Fire Goddess is an episode of the PBS series Nature, hosted by George Page and underwritten by Siemens and the American gas industry. The program focuses on the geology, endemic wildlife, and ecological threats of...; targeted_commons_earth_search"
vdcr_archive_earth_000007,https://archive.org/details/9pgrQNjuBRvk6a1bL003HT44F4M7SN,internet_archive,archive_license_verify_on_page,1332.8,0.0,60.0,earth_environmental_systems,Pahoehoe Lava Roping,earth_environmental_systems,earth_family_04,Candidate must show ropy pahoehoe surface forming or advancing over time.,"archive_search_collected; search_term=pahoehoe lava flow; archive_identifier=9pgrQNjuBRvk6a1bL003HT44F4M7SN; archive_file=tmpx_z3xzu0.mp4; title=DISCOVERY ‘67: HAWAII, LAND OF VOLCANOES” NATIONAL PARK, KILAUEA ERUPTIONS XD3092; description=This 1967 color installment of a news magazine program for young people hosted by Bill Owen and Virginia Gibson offers an educational look at volcanoes, featuring a visit to Hawai'i Volcanoes National Park (TRT: 22:12).Red hot molten lav...; targeted_commons_earth_search"
vdcr_archive_earth_000008,https://archive.org/details/erputive-phenomea,internet_archive,archive_license_verify_on_page,2596.1,0.0,60.0,earth_environmental_systems,Pahoehoe Lava Roping,earth_environmental_systems,earth_family_04,Candidate must show ropy pahoehoe surface forming or advancing over time.,"archive_search_collected; search_term=pahoehoe lava flow; archive_identifier=erputive-phenomea; archive_file=erputive-phenomea.mp4; title=Eruptive Phenomena of Kilauea's East Rift Zone; description=A 1987 VHS tape titled Eruptive Phenomena of Kilauea's East Rift Zone. This features visuals of lava flows at the Kilauea Caldera on the big island of Hawai'i. This is credited to Ka 'Io Productions, and is hosted by Dr. Richard W. Hazle...; targeted_commons_earth_search"
vdcr_archive_earth_000009,https://archive.org/details/Zontar_Thing_From_Venus,internet_archive,http://creativecommons.org/licenses/publicdomain/,4818.0,0.0,60.0,earth_environmental_systems,Aa Lava Front Advance,earth_environmental_systems,earth_family_04,Candidate must show blocky aa lava front advancing over time.,archive_search_collected; search_term=aa lava flow; archive_identifier=Zontar_Thing_From_Venus; archive_file=Zontar_the_Thing_From_Venus.ogv; title=Zontar the Thing From Venus; description=An alien tries to take over the Earth by cutting off all power and seizing the minds of various scientists and military leaders. This is a remake of the 1956 Roger Corman film It Conquered the World . You can find out more about this fil...; targeted_commons_earth_search
vdcr_archive_earth_000010,https://archive.org/details/volcanoes,internet_archive,http://creativecommons.org/licenses/publicdomain/,1007.4,0.0,60.0,earth_environmental_systems,Aa Lava Front Advance,earth_environmental_systems,earth_family_04,Candidate must show blocky aa lava front advancing over time.,archive_search_collected; search_term=aa lava flow; archive_identifier=volcanoes; archive_file=volcanoes.ogv; title=Volcanoes; description=; targeted_commons_earth_search
vdcr_archive_earth_000011,https://archive.org/details/thelivingplanetaportraitoftheearth12newworlds,internet_archive,archive_license_verify_on_page,1721.8,0.0,60.0,earth_environmental_systems,Aa Lava Front Advance,earth_environmental_systems,earth_family_04,Candidate must show blocky aa lava front advancing over time.,"archive_search_collected; search_term=aa lava flow; archive_identifier=thelivingplanetaportraitoftheearth12newworlds; archive_file=thelivingplanetaportraitoftheearth12newworldsreel2.ogv; title=The Living Planet a Portrait of the Earth 12 New Worlds; description=['Title from data sheet', 'Intended audience: Ages 16 through adult', 'Issued also as videorecording', ""Host David Attenborough looks at the mixed fortunes of a wide variety of animals that have been affected by man's damage or changes t...; targeted_commons_earth_search"
vdcr_archive_earth_000012,https://archive.org/details/frozen-planet-ii,internet_archive,archive_license_verify_on_page,3629.4,0.0,60.0,earth_environmental_systems,Ice Cliff Calving,earth_environmental_systems,earth_family_05,Candidate must show ice fracture/detachment and falling into water over time.,"archive_search_collected; search_term=glacier calving; archive_identifier=frozen-planet-ii; archive_file=06 Our Frozen Planet.mp4; title=Frozen Planet II ★ Sequel to BBC Earth Frozen Planet - with MKV; description=Frozen Planet II ★ is the sequel to BBC Earth's Frozen Planet - with MKV, subtitles, an online course, and a large printable poster! . _ . I found the source DVD images here https://archive.org/details/frozen_planet_ii_iso and I'm gratef...; targeted_commons_earth_search"
vdcr_archive_earth_000013,https://archive.org/details/SVS-3619,internet_archive,archive_license_verify_on_page,312.0,0.0,60.0,earth_environmental_systems,Ice Cliff Calving,earth_environmental_systems,earth_family_05,Candidate must show ice fracture/detachment and falling into water over time.,"archive_search_collected; search_term=glacier calving; archive_identifier=SVS-3619; archive_file=hdtour720p60_041a_512kb.mp4; title=A Tour of the Cryosphere 2009; description=The cryosphere consists of those parts of the Earth's surface where water is found in solid form, including areas of snow, sea ice, glaciers, permafrost, ice sheets, and icebergs. In these regions, surface temperatures remain below freez...; targeted_commons_earth_search"
vdcr_archive_earth_000014,https://archive.org/details/vimeo-303438254,internet_archive,archive_license_verify_on_page,732.0,0.0,60.0,earth_environmental_systems,Ice Cliff Calving,earth_environmental_systems,earth_family_05,Candidate must show ice fracture/detachment and falling into water over time.,"archive_search_collected; search_term=glacier calving; archive_identifier=vimeo-303438254; archive_file=GREENLAND_-_THE_MELTING_ISLAND_4K-303438254.mp4; title=GREENLAND - THE MELTING ISLAND 4K; description=Personal notice to the movie As a professional photographer, filmmaker and guide I'm a big part of the problem which I appeal in this short movie. Some people advisably think that I'm not the right person mentioning the problems of globa...; targeted_commons_earth_search"
vdcr_archive_earth_000015,https://archive.org/details/deadly-mantis-1957-colorized,internet_archive,archive_license_verify_on_page,4716.3,0.0,60.0,earth_environmental_systems,Ice Cliff Calving,earth_environmental_systems,earth_family_05,Candidate must show ice fracture/detachment and falling into water over time.,"archive_search_collected; search_term=iceberg calving; archive_identifier=deadly-mantis-1957-colorized; archive_file=Deadly Mantis 1957 colorized.mp4; title=The Deadly Mantis 1957 colorized (Craig Stevens); description=Attacks on an Arctic outpost and a military transport plane reveal the existence of a giant prehistoric praying mantis, released from suspended animation by the calving of an iceberg and now flying over Greenland on its way to New York C...; targeted_commons_earth_search"
vdcr_archive_earth_000016,https://archive.org/details/FranklynMonkPodcast38,internet_archive,http://creativecommons.org/licenses/by-nc-sa/3.0/,1000.0,0.0,60.0,earth_environmental_systems,Ice Cliff Calving,earth_environmental_systems,earth_family_05,Candidate must show ice fracture/detachment and falling into water over time.,archive_search_collected; search_term=iceberg calving; archive_identifier=FranklynMonkPodcast38; archive_file=LesserPump.unprocessed_wav.ogg; title=The Lesser Pump; description=The beginning and the end are worn. Virtual instruments controlled by samples. A G-man posing as a number station. A preachy New Year’s reveler. Ice calving from an iceberg. A hammer strike. Dronecast #38 Show Notes: http://fmonk.quasige...; targeted_commons_earth_search
vdcr_archive_earth_000017,https://archive.org/details/more_dangerous_then_dynamite,internet_archive,http://creativecommons.org/licenses/publicdomain/,589.2,0.0,60.0,earth_environmental_systems,Crown Fire Transition,earth_environmental_systems,earth_family_06,Candidate must show surface fire transitioning into tree crown fire over time.,archive_search_collected; search_term=crown fire; archive_identifier=more_dangerous_then_dynamite; archive_file=more_dangerous_then_dynamite.ogv; title=More Dangerous Than Dynamite; description=Warns housewives about the effects of cleaning clothes with Gasoline.; targeted_commons_earth_search
vdcr_archive_earth_000018,https://archive.org/details/Queen_For_A_Day,internet_archive,http://creativecommons.org/licenses/publicdomain/,1726.0,0.0,60.0,earth_environmental_systems,Crown Fire Transition,earth_environmental_systems,earth_family_06,Candidate must show surface fire transitioning into tree crown fire over time.,"archive_search_collected; search_term=crown fire; archive_identifier=Queen_For_A_Day; archive_file=Queen-For-A-Day.ogv; title=1960 episode of 'Queen for a Day'; description=One of the few surviving episodes of ""Queen for a Day"", from 1960. One of the strangest shows ever to air on TV. Please note that most shows of the 60's were MUCH BETTER than this.; targeted_commons_earth_search"
vdcr_archive_earth_000019,https://archive.org/details/Thief3_100p_13115,internet_archive,archive_license_verify_on_page,26.6,0.0,26.6,earth_environmental_systems,Crown Fire Transition,earth_environmental_systems,earth_family_06,Candidate must show surface fire transitioning into tree crown fire over time.,"archive_search_collected; search_term=crown fire; archive_identifier=Thief3_100p_13115; archive_file=Thief3_100p_13115_LQ_part05.ogv; title=Thief: Deadly Shadows (PC) - 1:31:15 - Daniel Burns; description=Speed run of Thief: Deadly Shadows for PC in 19 segments completed on February 25 2006. Collects ""100% loot"". Available in four versions: normal/low (320x240) and high/insane (512x384) quality. Author's comments: Thank you as always to R...; targeted_commons_earth_search"
vdcr_archive_earth_000020,https://archive.org/details/Mars_Dune_Avalanche_,internet_archive,http://creativecommons.org/publicdomain/zero/1.0/,157.3,0.0,60.0,earth_environmental_systems,Dune Slip-Face Avalanche,earth_environmental_systems,earth_family_07,Candidate must show granular sand sliding down a dune slip face over time.,"archive_search_collected; search_term=dune avalanche; archive_identifier=Mars_Dune_Avalanche_; archive_file=Mars_Dune_Avalanche_.ogv; title=Mars_Dune_Avalanche_; description=This is an educational video ""Mars: Dune Avalanche"", produced by the JPL and NASA. Uploaded for an introductory course on Astronomy. ASTR110 section 01, Ancilla College, Donaldson Indiana. Published under the Creative Commons License and...; targeted_commons_earth_search"
